,APOGEE_ID,source_id,LOGG,TEFF,MG_FE,FE_H_1,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
2653,2M19503630+4714116,2086326646599629440,2.678441047668457,4774.79248046875,0.017977498471736908,-0.027918549254536632,-0.0023200009018182755,0.23614999651908875,11.37217903137207,11.932572364807127,10.65103530883789,9.717000007629396,9.151000022888184,9.05799961090088,0.05942723900079727,88.85871887207031,0.011012853123247623,0.007842478342354298,0.011098920367658138,0.017220675945281982,0.0003148015661391668,0.0009280164884406528,0.0006953544699173085,0.020999999716877937,0.016000000759959217,0.016000000759959217,4.7455,5.4763,4.3152,0.5805500000000001,0.6762819777329447,0.05174315115682837,1.3498569,1.3634264999999999,1.338135,0.012645750000000022,0.13028773083988554,0.004065900330831
428,2M19042759+3913355,2100081025968100096,2.430471420288086,4841.24853515625,-0.0159422978758812,-0.09679054468870164,-0.018435001373291016,0.2375009953975677,10.162650108337402,10.722519874572754,9.456612586975098,8.564999580383299,8.034999847412111,7.879000186920166,0.04022994637489319,86.44265747070312,0.01044186484068632,0.007501211948692799,0.011386931873857977,0.01772328466176987,0.00018461690630799943,0.00045167402364487685,0.00022032700085938828,0.019999999552965164,0.035999998450279236,0.020999999716877937,5.1724,5.8217,4.5363,0.6427,0.7136921030365626,0.0541740268939393,0.7841592000000001,0.7943349000000001,0.7789326,0.007701149999999985,-0.10559575789888427,0.004251881905582865
1328,2M19260423+4225025,2101771456378988288,2.8948068618774414,4942.4267578125,0.05769869685173035,-0.3436915576457977,0.08072102069854736,0.1315300166606903,12.75100326538086,13.28058624267578,12.067224502563475,11.163000106811523,10.651000022888184,10.55799961090088,0.06844790279865265,94.20175170898438,0.012784065678715706,0.009145303629338741,0.016415074467658997,0.02454726211726665,0.00018129910847930475,0.0005706641720870652,0.0003833863365299006,0.019999999552965164,0.017999999225139618,0.012000000104308128,4.9001,6.3805,4.1049,1.1378,0.6902049430907665,0.09577606566249436,1.6483223999999999,1.6717107,1.6236781999999998,0.024016250000000013,0.21704216054493125,0.006330581238747565
1978,2M19383947+3931439,2076441491619141504,2.4679384231567383,4788.7958984375,0.006047898903489113,0.02802045084536076,0.011597881093621254,0.3116560280323029,11.509927749633787,12.091742515563965,10.790136337280273,9.83899974822998,9.289999961853027,9.184000015258787,0.0373426079750061,83.8016357421875,0.009647085331380369,0.006946292240172625,0.0096256909891963,0.015259641222655771,0.00016834938066589975,0.0006301151581766806,0.000278349977913539,0.020999999716877937,0.02800000086426735,0.023000000044703484,3.4977,3.9747,3.2734,0.3506499999999999,0.5437825570203395,0.042152638367425055,1.4471428000000002,1.4591593999999999,1.4338373,0.012661050000000043,0.160511388197179,0.0038014316289685522
669,2M19102813+4716385,2130855188197597184,2.988409996032715,4952.00341796875,0.011060699820518494,-0.2307015508413315,0.03374689817428589,0.18487000465393064,10.257431030273438,10.754146575927734,9.607772827148438,8.770999908447267,8.317999839782715,8.211000442504883,0.06664959341287613,90.63204193115234,0.011300134472548962,0.008179445751011372,0.013753232546150684,0.021036721765995026,0.0004449743417178631,0.0008373236508030235,0.0004623965736783031,0.023000000044703484,0.016000000759959217,0.026000000536441803,3.3027,3.7571,2.8523,0.4523999999999999,0.5188691264429287,0.05982877629510928,0.9348244000000001,0.9451129,0.9277266,0.008693150000000005,-0.02926996054268722,0.0040318409953781975
31,2M18460922+4651047,2119194283267597184,2.642029285430908,4591.55712890625,0.1900456994771957,-0.034210547804832465,0.12917399406433105,0.2074739933013916,12.148116111755373,12.729358673095705,11.426076889038086,10.475000381469727,9.897000312805176,9.78499984741211,0.05635139718651772,85.69804382324219,0.011319732293486595,0.00805625319480896,0.009934131987392902,0.01577097177505493,0.00016872309112847542,0.0007923703812817706,0.00025915757458694344,0.023000000044703484,0.017000000923871994,0.010999999940395357,10.6287,13.8706,8.6099,2.63035,1.0264801490621276,0.10354857019262724,1.2607137,1.2791969,1.2402235,0.01948669999999993,0.10061647227701527,0.006718721042794702
1341,2M19261178+3836085,2052736914273353856,2.868959903717041,4674.36083984375,0.010018184781074524,0.2416684478521347,0.04429002106189728,0.33243000507354736,12.36690902709961,12.969242095947266,11.633217811584473,10.66800022125244,10.10200023651123,9.968000411987305,0.05500176921486855,78.84418487548828,0.008437849581241608,0.006119001191109419,0.007080202456563711,0.01165528129786253,0.00013075941888152087,0.0005376732251338723,0.00032585614850311195,0.020999999716877937,0.016000000759959217,0.01899999938905239,4.9353,6.0204,3.8459,1.0872500000000005,0.6933135570835885,0.09731367971396747,1.4323625999999998,1.4537479999999998,1.4125047,0.02062164999999993,0.1560529727519887,0.006249614339648893
722,2M19113508+4527101,2130218394868107904,2.5442514419555664,4481.6318359375,-0.030656307935714718,0.28985846042633057,0.011520594358444214,0.09729599952697754,12.374067306518555,13.032744407653807,11.599974632263185,10.579000473022461,9.996999740600586,9.843000411987305,0.05121102929115296,76.64488220214844,0.008720000274479391,0.006381474435329436,0.006173030473291874,0.010486782528460026,0.00016630229761172008,0.0006894425546710714,0.00022080156666270942,0.020999999716877937,0.020999999716877937,0.010999999940395357,8.5583,10.9168,6.9984,1.9592,0.9323875060391268,0.09654829628914402,1.7037035,1.7283238,1.6768718999999996,0.025725949999999897,0.23139401559606956,0.0065626116619211675
951,2M19174913+3940269,2101029217310488192,2.546651840209961,4699.072265625,0.026848703622817997,-0.14687155187129974,0.021808013319969174,0.1846100091934204,11.588211059570312,12.170056343078613,10.865034103393556,9.918999671936037,9.329999923706056,9.22599983215332,0.061439830809831626,82.75749206542969,0.010402187705039978,0.007426628842949867,0.010409550741314888,0.01644344069063664,0.00015330843657013202,0.0006179438573783447,0.00030085984825567463,0.02199999988079071,0.016000000759959217,0.017999999225139618,5.0183,5.9238,4.3152,0.8043,0.7005566204002929,0.06879972914443183,1.3445633,1.359817,1.3314042,0.01420640000000003,0.12858125296585135,0.00458527182800019
1914,2M19372862+3849032,2052192415504626432,3.040557861328125,5049.9990234375,-0.006156697869300842,-0.08037754893302917,0.027285002171993256,0.1898539960384369,12.82902717590332,13.365581512451172,12.135920524597168,11.217000007629396,10.753999710083008,10.619999885559082,0.05134072527289391,100.2102279663086,0.01273749303072691,0.009319286793470384,0.015615898184478285,0.02352594397962093,0.0001830188785345577,0.0007664791244554879,0.00040079069857812405,0.026000000536441803,0.03099999949336052,0.020999999716877937,2.2853,2.8504,1.869,0.4907,0.3589432196323347,0.09164825398206357,1.5033521,1.5257604999999999,1.4831664,0.02129705000000001,0.1770607085832911,0.006148244535054165
2680,2M19510245+4018183,2073688211425685376,2.5339949131011963,4843.92138671875,-0.06174229830503464,0.011957449838519095,-0.03090200014412403,0.22239099442958832,11.29347038269043,11.888866424560547,10.557827949523926,9.588000297546387,9.032999992370604,8.928999900817871,0.039737939834594734,85.52246856689453,0.00984839629381895,0.007110791280865668,0.010276224464178084,0.016168612986803055,0.000209611866097692,0.0007886273422041956,0.0003220932122882658,0.024000000208616257,0.02199999988079071,0.017000000923871994,2.2805,2.4403,2.0654,0.1874500000000001,0.3580300765769571,0.03621952361701816,1.2870434,1.2956542999999998,1.2775558,0.009049249999999915,0.10959319186376566,0.0030546313707961736
214,2M18580027+4921126,2132188066869620736,3.055006265640259,5001.3544921875,0.0621357262134552,-0.3632215559482575,0.08189401030540466,0.10444101691246033,11.669289588928224,12.1372652053833,11.035221099853516,10.220999717712402,9.74899959564209,9.66800022125244,0.06987828761339188,96.2624740600586,0.013131169602274895,0.009467678144574164,0.017587902024388313,0.0261954702436924,0.00014440312284147439,0.0006324960403236712,0.00035732717073355685,0.028999999165534977,0.032000001519918435,0.024000000208616257,4.197,5.1882,3.3752,0.9065,0.6229389692114901,0.09335859849272082,1.0181893,1.0326769,1.0034597,0.014608599999999966,0.007828528789147604,0.0062322634629251175
989,2M19185695+5051466,2133181548642227968,2.4446234703063965,4542.01806640625,0.2259916812181473,-0.25157153606414795,0.15265998244285586,0.11652699112892152,13.131128311157227,13.739297866821287,12.38842487335205,11.38700008392334,10.784000396728516,10.647000312805176,0.05858571827411652,88.55594635009766,0.013286328874528408,0.009384316392242908,0.012261781841516495,0.019116250798106197,0.00015380137320830656,0.0009381455961277039,0.0004096885993998267,0.023000000044703484,0.02800000086426735,0.02199999988079071,10.4662,13.4338,8.2224,2.6057,1.0197890294736327,0.1066001389857566,2.5471286,2.586233,2.5032259999999997,0.041503499999999804,0.4060508722743566,0.00708379397310399
1164,2M19224762+3859230,2052866686700421760,2.5259387493133545,4647.2685546875,0.05243469774723053,-0.07669954746961594,0.09215600043535233,0.2907440066337585,11.639431953430176,12.243088722229006,10.90091609954834,9.93000030517578,9.324999809265137,9.211999893188477,0.0595911405980587,80.79810333251953,0.00999380275607109,0.007162592373788356,0.009356573224067688,0.0150087783113122,0.00014612095483923504,0.0005969929672999807,0.0002701431766793938,0.020999999716877937,0.017999999225139618,0.017000000923871994,6.3875,7.4963,5.4802,1.00805,0.8053309131427692,0.06802527511119044,1.2509042,1.2638381,1.237371,0.013233549999999922,0.09722405069702296,0.004595755123129923
2807,2M19534864+4827337,2086502469685888256,2.6864244937896733,4669.087890625,0.009638503193855286,0.10660845041275024,-0.015258997678756712,0.21180999279022214,13.101046562194824,13.73728847503662,12.340214729309082,11.322999954223633,10.767999649047852,10.57800006866455,0.05431697145104408,92.94750213623048,0.012135923840105534,0.008559899404644966,0.010798433795571329,0.016714736819267273,0.00014841307215629485,0.0006476376378938831,0.00037713492009539,0.023000000044703484,0.029999999329447743,0.02199999988079071,8.0597,9.8828,6.5208,1.6809999999999996,0.9063188766972304,0.09028956321442527,2.1115202999999996,2.1403724000000004,2.0853546,0.02750890000000004,0.32459526105602643,0.005654713897972452
2084,2M19405011+4246167,2077914665397623936,2.6462290287017822,4757.328125,0.042483702301979065,-0.08164454996585846,-0.0458969920873642,0.2416059970855713,12.042875289916992,12.63293170928955,11.312191009521484,10.3149995803833,9.746999740600586,9.60099983215332,0.06112394854426384,84.711181640625,0.010350971482694149,0.007400504779070616,0.010551069863140585,0.01656530611217022,0.00012248004293446968,0.0005999761629771339,0.00024012966395092758,0.01899999938905239,0.017000000923871994,0.014000000432133676,4.1930000000000005,5.3915,3.1989,1.0962999999999998,0.6225248624035683,0.1133544728093211,1.5162722000000002,1.5398893,1.4930697,0.02340980000000002,0.18077717250079114,0.0067047095943868346
326,2M19015687+4048241,2103773937629150720,2.9231259822845463,4779.03125,0.17139169573783875,-0.10963154584169388,0.014410197734832762,0.04763499647378922,12.284265518188475,12.85366439819336,11.56942081451416,10.623000144958496,10.090999603271484,9.958000183105467,0.061992157250642776,85.79920196533203,0.010618166998028757,0.007583878468722105,0.011147196404635906,0.01738281361758709,0.00013297213471763492,0.0005061590065846833,0.00021514674956701896,0.02199999988079071,0.02199999988079071,0.017000000923871994,10.1509,13.0327,8.1639,2.4344,1.0065045494123597,0.10156836097834504,1.0901735,1.1064232,1.0727537,0.016834749999999985,0.03749562096479519,0.006710626284289912
560,2M19073198+3949000,2100480526645620736,3.133704662322998,4807.91064453125,0.04049870371818543,0.14215844869613647,0.03507100045681,0.2961699962615967,12.750737190246582,13.36109733581543,12.008849143981935,11.02299976348877,10.470999717712402,10.366999626159668,0.0583995021879673,83.26255798339844,0.009067884646356106,0.0065705361776053905,0.008714405819773674,0.013954255729913713,0.00014982073012759223,0.0007463521682082862,0.00029939436554937693,0.020999999716877937,0.019999999552965164,0.017999999225139618,6.7493,8.4119,5.3815,1.5151999999999997,0.8292587325492909,0.09699537828749627,1.0648463,1.0805841999999999,1.0483348,0.01612469999999996,0.027286926198170986,0.006579305228964357
1383,2M19265167+4521313,2126662750362502400,2.577931404113769,4735.1630859375,0.08223870396614075,-0.2851215600967407,0.08368799090385437,0.10943000018596648,13.027364730834961,13.58962631225586,12.319550514221193,11.36400032043457,10.812999725341797,10.692999839782717,0.06139044091105461,99.38445281982422,0.015222460962831976,0.01055798027664423,0.016731610521674156,0.02463454753160477,0.00016838021328680064,0.0006813993534560138,0.00031968592978603994,0.019999999552965164,0.017000000923871994,0.016000000759959217,8.8058,10.5606,7.5614,1.4996000000000005,0.9447688174075456,0.07254319018010312,2.4030672,2.4293197999999996,2.3761286,0.026595600000000105,0.3807659156982477,0.004807374095583489
1724,2M19334280+4322590,2078219809933455488,2.8357417583465576,4714.85302734375,-0.011561296880245207,0.11484844982624055,0.005773000419139862,0.2113900035619736,10.19367790222168,10.759626388549805,9.486939430236816,8.611000061035156,8.031000137329103,7.9130001068115225,0.0575149692595005,80.98077392578125,0.009077916853129864,0.006548444740474224,0.00827188976109028,0.013363891281187534,0.0002203286451452069,0.0006472167636217829,0.00020827227093178635,0.03400000184774399,0.017000000923871994,0.016000000759959217,6.0891,7.849,4.9934,1.4278,0.7845531064394088,0.0982089860770156,0.5224508,0.5302576,0.5146478,0.007804900000000031,-0.28195460147446505,0.006488390609590944
