APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
2M19151456+3947520,2101230354919523840,2.6615312099456787,4736.705078125,0.2018290013074875,-0.4522315561771393,0.08478200435638428,0.21827998757362366,11.74598217010498,12.296690940856934,11.043587684631348,10.11400032043457,9.583999633789062,9.456999778747559,0.06755615770816803,86.60157775878906,0.00846106093376875,0.007803214713931084,0.01448526419699192,0.022062769159674644,0.00012397053641644007,0.0005784524747087794,0.00026561650726564245,0.02199999988079071,0.020999999716877937,0.01899999938905239,7.1361,9.1364,5.821000000000001,1.6576999999999997,0.8534609272906977,0.09788875292260674,1.1767878,1.1942352,1.1601123,0.017061450000000037,0.07069815732302243,0.006294918221909092
2M19151588+5025567,2133110149106439552,2.5998520851135254,4933.7236328125,0.029336996376514435,-0.2887815535068512,-0.00506100058555603,0.12736999988555908,12.869023323059082,13.387126922607422,12.189637184143066,11.338000297546387,10.795999526977539,10.704000473022461,0.04729882627725601,104.27188110351562,0.009941667318344116,0.009879990480840206,0.01935751549899578,0.02807759866118431,0.00016750254744679616,0.0006217013439635544,0.0003621008019039085,0.02199999988079071,0.027000000700354576,0.023000000044703484,4.6558,5.819,3.7060000000000004,1.0564999999999998,0.667994315979899,0.097971471105266,1.9418379,1.9708108,1.9120527,0.029379050000000007,0.28821297321677963,0.006572537701646314
2M19151622+4553087,2127334551966793728,2.4767796993255615,4808.9384765625,-0.003880999982357025,-0.04739454761147499,-0.0070669986307621,0.2435780018568039,9.931800842285156,10.452083587646484,9.259908676147461,8.39900016784668,7.86299991607666,7.7769999504089355,0.03861343860626221,85.1215591430664,0.0067546069622039795,0.0065004341304302216,0.010618485510349274,0.01665435917675495,0.00015469504668241818,0.0005547294625585231,0.00020390753869392597,0.024000000208616257,0.019999999552965164,0.024000000208616257,4.9213,5.6138,4.4157,0.5990500000000001,0.6920798402166318,0.05212868808374305,0.7595872,0.7664559000000001,0.7520036,0.007226150000000018,-0.11942236228178929,0.004133626004882887
2M19151771+4323498,2102946387624867456,3.044348955154419,4773.123046875,-0.0030899997800588608,0.2073284536600113,0.06945399940013885,0.3061400055885315,11.706194877624512,12.25137710571289,11.015217781066895,10.093999862670898,9.605999946594238,9.491000175476074,0.05722300335764885,81.93871307373047,0.005727915558964014,0.0056722755543887615,0.008122560568153858,0.013112491928040981,0.00012824487936824447,0.0004889715755451718,0.00025104288803978747,0.02500000037252903,0.01899999938905239,0.014000000432133675,5.4903,6.9585,4.4157,1.2713999999999999,0.7395960757406037,0.0987580357783619,0.8882791,0.9010694,0.8759916,0.012538900000000013,-0.05145055612975594,0.006129149885877629
2M19152052+4218256,2102318257254142720,2.6035492420196533,4848.4091796875,0.002202998846769333,-0.07748454809188843,0.03135700523853302,0.20934799313545227,11.812705993652344,12.344117164611816,11.131561279296875,10.244999885559082,9.715999603271484,9.62600040435791,0.04046494513750076,86.52249145507812,0.006965091452002525,0.0066813817247748375,0.011306564323604107,0.01761130802333355,0.00010554606812651635,0.0006055201791499432,0.0002762321021876346,0.02199999988079071,0.019999999552965164,0.010999999940395355,2.2811,2.8489999999999998,1.8408,0.5040999999999999,0.35814432451217487,0.09484292178944492,1.3016817,1.3197921,1.2815041,0.01914399999999989,0.11450479926011728,0.006392762224254896
2M19152764+4936153,2132672887076384384,2.5628468990325928,4721.91162109375,0.03593499958515167,-0.20336154103279114,0.02099640667438507,0.12730000913143158,12.392730712890625,12.95382308959961,11.68486213684082,10.788999557495117,10.185999870300293,10.109000205993652,0.061832528561353683,89.04670715332031,0.00788917113095522,0.007664509117603302,0.012723718769848347,0.019517233595252037,0.00016682632083209192,0.0006900213749461148,0.00033502217537506596,0.023000000044703484,0.026000000536441803,0.02199999988079071,7.1306,8.6062,5.9061,1.3500499999999995,0.8531260748344464,0.0817553192236381,1.8515636,1.8754646,1.8302061,0.022629249999999955,0.26753863437339537,0.005304436306536375
2M19152927+4046014,2101347388486838016,3.1170616149902344,4957.7119140625,0.04302399605512619,-0.3681715428829193,0.025698989629745483,0.09018498659133911,11.389396667480469,11.872480392456055,10.74195384979248,9.925999641418457,9.439000129699707,9.361000061035156,0.06996594369411469,92.46685028076172,0.008628697134554386,0.008040951564908028,0.016287866979837418,0.0244707353413105,0.00014746283516497982,0.0005522112670852675,0.0003638737471500786,0.020999999716877937,0.02199999988079071,0.017000000923871994,7.1263,8.8435,5.6885,1.5775000000000001,0.8528641011474862,0.09581320886633099,0.7192805,0.7286838,0.7087612,0.009961299999999994,-0.14310171344756867,0.006019589841931877
2M19153085+4037028,2101337321083418624,2.4672577381134033,4909.671875,0.028735000640153885,-0.20172154903411865,-0.0375949889421463,0.20226000249385834,12.870931625366211,13.403423309326172,12.186260223388672,11.319000244140625,10.791000366210938,10.699999809265137,0.044987138360738754,97.72767639160156,0.008721793070435524,0.008572484366595745,0.01592165417969227,0.02369207888841629,0.0001826993322895376,0.0006491648112272319,0.00040049292870270037,0.019999999552965164,0.01600000075995922,0.01600000075995922,3.8212,4.3538,2.9174,0.7181999999999997,0.5821997690737168,0.08693624820486887,2.9272901,2.9545401,2.8965426,0.028998749999999972,0.46646576397329587,0.004304984305776444
2M19153177+4424386,2127123995489583744,2.8536226749420166,5129.10400390625,0.023111999034881592,-0.10356155037879944,-0.031453996896743774,0.26545000076293945,12.321800231933594,12.796695709228516,11.68438720703125,10.87600040435791,10.406999588012695,10.348999977111816,0.05541237071156502,97.76300811767578,0.008235610090196133,0.008133734576404095,0.015485178679227829,0.023717008531093597,0.00014968318268415715,0.000686967292861107,0.0002565518653796506,0.02199999988079071,0.01899999938905239,0.014000000432133675,0.7491,0.9658,0.6890000000000001,0.13839999999999997,-0.12546020292898982,0.07333398957835088,2.1249900999999998,2.1601604,2.0863156,0.036922400000000154,0.3273569110802662,0.007552997460570782
2M19153291+4029529,2101322786914025600,2.904266357421875,4878.7158203125,-0.0018130019307136536,-0.03793054819107056,-0.05787399783730507,0.21948400139808655,12.747856140136719,13.293302536010742,12.051804542541504,11.168000221252441,10.62600040435791,10.53499984741211,0.06084626540541649,96.08293914794922,0.00793237704783678,0.007967241108417511,0.013581087812781334,0.020515266805887222,0.00015385996766870136,0.0006163840565853729,0.0004154531823807872,0.019999999552965164,0.01600000075995922,0.01600000075995922,3.2817,4.1137,2.6002,0.7567499999999998,0.5160988770523542,0.09961293137244029,1.6919259,1.7167478,1.6653289,0.02570945000000006,0.22838133865229135,0.00660324034433897
